college_id,starting_median_salary,midcareer_median_salary
166683,72200.0,126000.0
110404,75500.0,123000.0
115409,71800.0,122000.0
190372,62200.0,114000.0
168421,61000.0,114000.0
211440,61800.0,111000.0
194824,61100.0,110000.0
139755,58300.0,106000.0
126775,58100.0,106000.0
186867,60600.0,105000.0
145725,56000.0,97800.0
168227,53000.0,96700.0
233921,53500.0,95400.0
219347,55800.0,93400.0
187967,51000.0,93400.0
195003,48900.0,84600.0
133553,52700.0,80700.0
221847,46200.0,80000.0
145637,52900.0,96100.0
163286,52000.0,95000.0
110705,50500.0,95000.0
228778,49700.0,93900.0
196060,44500.0,92200.0
134130,47100.0,87900.0
159391,46900.0,87800.0
139959,44100.0,86000.0
214777,49900.0,85700.0
104151,47400.0,84100.0
151351,46300.0,84000.0
153658,44700.0,83900.0
233295,42600.0,83600.0
100751,41300.0,81400.0
176017,41400.0,79700.0
183044,41800.0,78300.0
238032,43100.0,78100.0
221759,43800.0,74600.0
204857,42200.0,73400.0
134097,42100.0,73000.0
211291,54100.0,110000.0
190099,52800.0,108000.0
164465,54500.0,107000.0
213385,53900.0,107000.0
161004,48100.0,107000.0
166124,50200.0,106000.0
120254,51900.0,105000.0
234207,53600.0,104000.0
216287,49700.0,104000.0
198385,46100.0,104000.0
173258,47500.0,103000.0
168342,51700.0,102000.0
121345,48600.0,101000.0
130697,46500.0,97900.0
160977,47300.0,96500.0
157863,47200.0,95800.0
233374,48600.0,94600.0
197133,46000.0,94600.0
230959,47700.0,94200.0
166939,42400.0,94100.0
212577,49100.0,92800.0
150400,41400.0,88300.0
174844,45300.0,86200.0
161086,46400.0,85800.0
212674,44700.0,85800.0
195474,45500.0,85200.0
167835,44000.0,83900.0
191515,49200.0,83700.0
168218,42800.0,83500.0
202523,42000.0,83500.0
204501,43400.0,81600.0
236328,46600.0,81500.0
126678,38500.0,81400.0
209922,40500.0,81100.0
173647,44500.0,80600.0
237057,43500.0,80100.0
216524,42100.0,80000.0
213251,41800.0,78900.0
206525,39200.0,78200.0
153384,42600.0,76600.0
195526,41600.0,74600.0
214157,42500.0,74400.0
209056,38900.0,72600.0
127185,42000.0,69800.0
124292,41500.0,67500.0
235167,39500.0,63900.0
182670,58000.0,134000.0
186131,66500.0,131000.0
130794,59100.0,126000.0
166027,63400.0,124000.0
215062,60900.0,120000.0
190415,60300.0,110000.0
217156,56200.0,109000.0
190150,59400.0,107000.0
110635,59900.0,112000.0
234076,52700.0,103000.0
110422,57200.0,101000.0
110662,52600.0,101000.0
110680,51100.0,101000.0
110644,52300.0,99600.0
126614,47100.0,97600.0
110653,48300.0,96700.0
228723,49700.0,96100.0
196079,53600.0,95900.0
178411,57100.0,95800.0
122755,53500.0,95600.0
170976,52700.0,93000.0
196097,49500.0,93000.0
186380,50300.0,91800.0
243780,51400.0,90500.0
129020,48000.0,88800.0
166629,46600.0,88200.0
110538,47400.0,88100.0
240444,48900.0,87800.0
110565,45700.0,87000.0
232186,47800.0,86900.0
166513,45400.0,86600.0
122597,47300.0,86400.0
104179,47500.0,86100.0
217882,48400.0,86000.0
236948,48800.0,85300.0
171100,46300.0,85300.0
217484,43900.0,85300.0
122409,46200.0,85200.0
100858,45400.0,84700.0
236939,45300.0,84700.0
110583,45100.0,84700.0
153603,45400.0,84600.0
130943,45900.0,84500.0
126562,46100.0,84400.0
110574,49200.0,84300.0
196042,47300.0,84200.0
174066,46200.0,84200.0
110714,44700.0,84100.0
204796,44900.0,83700.0
199193,47200.0,83300.0
209542,45100.0,83300.0
230764,45400.0,83200.0
182290,46500.0,82900.0
207500,44700.0,82900.0
106397,44100.0,82800.0
231174,44800.0,82700.0
100706,43100.0,82700.0
110617,47800.0,82400.0
142285,44900.0,82000.0
145600,47500.0,81700.0
196130,46200.0,81700.0
155317,42400.0,81600.0
187985,41600.0,81600.0
199120,42900.0,81500.0
110671,46800.0,81300.0
196167,42300.0,81300.0
178396,41700.0,81000.0
181464,45700.0,80900.0
228769,45400.0,80800.0
147703,43600.0,80800.0
207388,42800.0,80700.0
200280,44000.0,80600.0
110608,45500.0,80400.0
225511,46000.0,79900.0
188030,44300.0,79500.0
226091,46500.0,79400.0
176080,44500.0,79300.0
126818,44800.0,79000.0
155399,43300.0,79000.0
240727,44500.0,78700.0
230728,43800.0,78700.0
240462,45800.0,78500.0
209551,42200.0,78400.0
157085,42800.0,78300.0
166638,45600.0,78200.0
163268,47000.0,77800.0
200332,45100.0,77800.0
196194,38000.0,77800.0
167987,43200.0,77700.0
180461,46600.0,77500.0
196185,37500.0,76700.0
160658,41100.0,76300.0
196246,40800.0,76200.0
172644,42800.0,76100.0
141574,43800.0,76000.0
206084,43100.0,75900.0
133951,43200.0,75500.0
240189,40800.0,75500.0
237011,42700.0,75400.0
173920,43300.0,74700.0
240453,42300.0,74600.0
106485,39200.0,74500.0
214713,45700.0,74000.0
199139,43100.0,74000.0
139940,41800.0,74000.0
172699,42300.0,73800.0
219356,41100.0,73500.0
142276,44900.0,73400.0
145813,42000.0,73400.0
202134,43500.0,73100.0
102553,45900.0,72600.0
165820,42400.0,72600.0
181394,41500.0,72600.0
149222,43000.0,72500.0
228796,43400.0,72100.0
110547,42700.0,72100.0
161253,41200.0,72100.0
169798,40300.0,72100.0
201441,39800.0,72100.0
180692,37300.0,71900.0
132903,42600.0,71700.0
218663,40000.0,71700.0
182281,45200.0,71600.0
174783,41800.0,71400.0
240374,40700.0,71400.0
110495,38000.0,71400.0
115755,42600.0,71300.0
133669,42600.0,71100.0
137351,41100.0,71100.0
209807,42600.0,70900.0
235097,38600.0,70900.0
229027,42500.0,70700.0
200800,41100.0,70300.0
196200,38000.0,70300.0
100663,39200.0,70100.0
220862,41400.0,69700.0
142115,40800.0,69500.0
179566,36100.0,69500.0
240329,42200.0,69300.0
197869,40400.0,69100.0
234030,42000.0,68400.0
240417,43600.0,68300.0
198464,40200.0,67500.0
230737,42400.0,67100.0
178420,41400.0,67100.0
200004,36900.0,66600.0
240365,39300.0,66400.0
196158,37800.0,66200.0
178402,38900.0,65800.0
240268,41400.0,64800.0
150136,39100.0,64500.0
199218,37500.0,64400.0
240480,39800.0,64000.0
161554,39400.0,63600.0
106458,38700.0,63300.0
203517,38700.0,62600.0
228529,40800.0,62400.0
240277,35800.0,60600.0
157386,34800.0,60600.0
219602,37700.0,59200.0
155681,40400.0,58200.0
230603,41900.0,56500.0
180179,37900.0,50600.0
219046,35300.0,43900.0
